# build started 2026-06-22T16:18:12.492754Z  days=586
20240914  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.45s
20240915  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20240916  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20240917  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.48s
20240918  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.45s
20240919  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20240920  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20240921  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.39s
20240922  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20240923  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.40s
20240925  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20240926  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20240927  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.24s
20240928  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20240929  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20240930  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20241001  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.58s
20241002  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241003  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20241004  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241005  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.40s
20241006  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.39s
20241007  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241008  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241009  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241010  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.61s
20241011  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241013  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241014  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241015  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241016  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.45s
20241017  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.40s
20241018  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20241019  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241020  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241021  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241022  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.76s
20241023  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.59s
20241024  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20241025  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241026  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.28s
20241027  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20241028  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.47s
20241029  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20241030  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.26s
20241031  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.59s
20241101  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20241102  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20241103  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.58s
20241104  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241105  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241107  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241108  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.45s
20241109  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.39s
20241110  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.39s
20241111  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20241112  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241113  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241114  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20241115  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241116  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20241117  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.61s
20241118  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.78s
20241119  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.65s
20241120  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241121  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20241122  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.61s
20241123  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.41s
20241206  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.15s
20241207  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.27s
20241208  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.18s
20241210  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.16s
20241212  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20241214  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.25s
20241215  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.45s
20241216  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.45s
20241217  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.26s
20241220  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.25s
20241221  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.23s
20241224  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.40s
20241225  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.45s
20241228  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20241229  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.46s
20241230  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.47s
20241231  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.45s
20250101  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
